'1','S20120530-1','153'
'2','S20120530-2','153'
'3','S20120530-3','153'
'4','S20120530-4','153'
'5','S20120530-5','153'
'6','S20120530-6','153'
'7','S20120604-7','154'
'8','S20120604-8','154'
'9','S20120605-9','123'
'10','S20120605-10','123'
'11','S20120605-11','123'
'12','S20120605-12','123'
'13','S20120605-13','123'
'14','S20120605-14','151'
'15','S20120605-15','151'
'16','S20120605-16','151'
'17','S20120605-17','151'
'18','S20120605-18','151'
'19','S20120612-19','245'
'20','S20120612-20','245'
'21','S20120612-21','245'
'22','S20120612-22','245'
'23','S20120612-23','245'
'24','S20120612-24','245'
'25','S20120612-25','245'
'26','S20120612-26','245'
'27','S20120612-27','245'
'28','S20120612-28','245'
'29','S20120612-29','245'
'30','S20120613-30','246'
'31','S20120613-31','246'
'32','S20120613-32','246'
'33','S20120615-33','248'
'34','S20120615-34','16'
'35','S20120615-35','249'
'36','S20120615-36','155'
'37','S20120615-37','155'
'38','S20120615-38','155'
'39','S20120615-39','155'
'40','S20120615-40','245'
'41','S20120615-41','245'
'42','S20120615-42','245'
'43','S20120615-43','245'
'44','S20120615-44','245'
'45','S20120615-45','245'
'46','S20120615-46','245'
'47','S20120615-47','245'
'48','S20120615-48','245'
'49','S20120615-49','245'
'50','S20120615-50','245'
'51','S20120621-51','6'
'52','S20120621-52','6'
'53','S20120621-53','96'
'54','S20120621-54','96'
'55','S20120621-55','6'
'56','S20120621-56','165'
'57','S20120622-57','152'
'58','S20120622-58','152'
'59','S20120622-59','152'
'60','S20120622-60','152'
'61','S20120622-61','152'
'62','S20120622-62','151'
'63','S20120622-63','151'
'64','S20120622-64','151'
'65','S20120622-65','151'
'66','S20120625-66','157'
'67','S20120625-67','157'
'68','S20120625-68','157'
'69','S20120625-69','153'
'70','S20120625-70','153'
'71','S20120625-71','153'
'72','S20120625-72','153'
'73','S20120625-73','155'
'74','S20120625-74','155'
'75','S20120625-75','155'
'76','S20120625-76','155'
'77','S20120625-77','155'
'78','S20120625-78','123'
'79','S20120625-79','123'
'80','S20120625-80','123'
'81','S20120626-81','146'
'82','S20120626-82','146'
'83','S20120626-83','146'
'84','S20120626-84','146'
'85','S20120626-85','146'
'86','S20120626-86','146'
'87','S20120626-87','146'
'88','S20120627-88','245'
'89','S20120627-89','245'
'90','S20120627-90','245'
'91','S20120627-91','245'
'92','S20120627-92','245'
'93','S20120627-93','245'
'94','S20120627-94','245'
'95','S20120627-95','245'
'96','S20120627-96','245'
'97','S20120627-97','245'
'98','S20120627-98','251'
'99','S20120627-99','251'
'100','S20120628-100','151'
'101','S20120628-101','151'
'102','S20120628-102','151'
'103','S20120628-103','151'
'104','S20120628-104','151'
'105','S20120628-105','152'
'106','S20120628-106','152'
'107','S20120628-107','251'
'108','S20120628-108','251'
'109','S20120702-109','155'
'110','S20120702-110','155'
'111','S20120702-111','154'
'112','S20120702-112','154'
'113','S20120702-113','154'
'114','S20120702-114','154'
'115','S20120702-115','154'
'116','S20120702-116','154'
'117','S20120702-117','154'
'118','S20120702-118','154'
'119','S20120702-119','252'
'120','S20120702-120','252'
'121','S20120703-121','153'
'122','S20120703-122','153'
'123','S20120703-123','153'
'124','S20120703-124','153'
'125','S20120703-125','245'
'126','S20120703-126','245'
'127','S20120703-127','245'
'128','S20120704-128','122'
'129','S20120704-129','245'
'130','S20120704-130','245'
'131','S20120704-131','245'
'132','S20120704-132','245'
'133','S20120704-133','245'
'134','S20120704-134','245'
'135','S20120704-135','245'
'136','S20120704-136','245'
'137','S20120705-137','146'
'138','S20120705-138','146'
'139','S20120705-139','146'
'140','S20120705-140','146'
'141','S20120706-141','157'
'142','S20120706-142','157'
'143','S20120706-143','157'
'144','S20120706-144','157'
'145','S20120706-145','157'
'146','S20120706-146','245'
'147','S20120706-147','245'
'148','S20120706-148','245'
'149','S20120706-149','245'
'150','S20120706-150','245'
'151','S20120706-151','245'
'152','S20120710-152','151'
'153','S20120710-153','151'
'154','S20120710-154','151'
'155','S20120710-155','151'
'156','S20120712-156','245'
'157','S20120712-157','245'
'158','S20120712-158','245'
'159','S20120712-159','245'
'160','S20120712-160','245'
'161','S20120712-161','129'
'162','S20120712-162','245'
'163','S20120712-163','245'
'164','S20120712-164','245'
'165','S20120712-165','245'
'166','S20120712-166','245'
'167','S20120712-167','245'
'168','S20120712-168','245'
'169','S20120712-169','245'
'170','S20120712-170','245'
'171','S20120713-171','245'
'172','S20120713-172','245'
'173','S20120713-173','245'
'174','S20120713-174','245'
'175','S20120713-175','245'
'176','S20120713-176','245'
'177','S20120718-177','245'
'178','S20120718-178','245'
'179','S20120718-179','245'
'180','S20120718-180','245'
'181','S20120718-181','245'
'182','S20120718-182','245'
'183','S20120718-183','245'
'184','S20120718-184','245'
'185','S20120718-185','245'
'186','S20120718-186','245'
'187','S20120718-187','245'
'188','S20120723-188','245'
'189','S20120723-189','245'
'190','S20120723-190','245'
'191','S20120723-191','245'
'192','S20120723-192','245'
'193','S20120725-193','123'
'194','S20120725-194','123'
'195','S20120725-195','123'
'196','S20120727-196','245'
'197','S20120727-197','245'
'198','S20120727-198','245'
'199','S20120727-199','245'
'200','S20120727-200','245'
'201','S20120727-201','245'
'202','S20120727-202','245'
'203','S20120727-203','245'
'204','S20120727-204','245'
'205','S20120727-205','245'
'206','S20120727-206','245'
'207','S20120730-207','157'
'208','S20120730-208','157'
'209','S20120730-209','157'
'210','S20120730-210','157'
'211','S20120730-211','154'
'212','S20120730-212','154'
'213','S20120730-213','154'
'214','S20120730-214','154'
