'71','6','10'
'72','1','12'
'111','133','15'
'112','14','16'
'113','29','21'
'73','114','24'
'117','116','25'
'119','118','25'
'132','28','18'
'139','125','10'
'67','64','4'
'142','141','24'
'146','29','12'
'158','147','10'
'165','149','10'
'127','148','5'
'162','148','15'
'155','154','25'
'164','149','5'
'22','149','50'
'163','148','25'
'23','150','10'
'161','148','10'
'26','150','50'
'14','147','50'
'160','148','5'
'11','147','10'
'15','148','10'
'159','147','15'
'157','147','5'
'40','151','25'
'41','151','50'
'156','147','25'
'39','151','15'
'42','152','10'
'44','152','25'
'166','149','15'
'167','149','25'
'168','150','5'
'169','150','10'
'170','150','15'
'171','150','25'
'173','172','5'
'174','172','10'
'175','172','15'
'176','172','25'
'178','172','25'
'56','177','10'
'89','179','15'
'58','177','25'
'57','177','15'
'59','177','50'
'180','177','5'
'183','182','15'
'184','182','25'
